variant,split,utility_divisor,reservation_divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,adaptive_utility,fixed_utility,utility_gap,relative_utility_gain_pct,utility_delta_vs_reference,adaptive_accuracy,adaptive_chars,adaptive_opens,fixed_accuracy,fixed_chars,fixed_n
reference_profiled,63,100000.0,70000.0,shifted_exponential,bounded_identity,0.2,20.0,0.0,,0.5,0.5,0.22951901785714288,0.19576950892857142,0.03374950892857145,17.23941032149461,0.0,0.2648809523809524,3536.1934523809523,6.357142857142857,0.24107142857142858,4530.191964285715,8
reference_profiled,63,200000.0,70000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2464592336309524,0.21650430803571427,0.02995492559523813,13.835718035826245,0.0,0.2708333333333333,4874.819940476191,8.525297619047619,0.2544642857142857,7591.995535714285,14
reference_profiled,63,300000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.25595919146825397,0.22931950396825398,0.02663968749999998,11.616843329509324,0.0,0.27529761904761907,5801.528273809524,10.194940476190476,0.26339285714285715,10222.005952380952,19
reference_profiled,63,400000.0,400000.0,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,,0.75,1.0,0.2607937983630952,0.241668125,0.019125673363095175,7.914023979411921,0.0,0.27529761904761907,5801.528273809524,10.194940476190476,0.27380952380952384,12856.559523809523,24
reference_profiled,63,500000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2597904970238095,0.25035163095238094,0.009438866071428575,3.770243491333168,0.0,0.28273809523809523,11473.799107142857,21.011904761904763,0.28125,15449.184523809523,29
reference_profiled,63,600000.0,400000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.26361509672619043,0.2511866592261905,0.012428437499999945,4.947889166680739,0.0,0.28273809523809523,11473.799107142857,21.011904761904763,0.28125,18038.004464285714,34
reference_profiled,63,700000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2606481228741496,0.24933819090136058,0.011309931972789039,4.535980602050372,0.0,0.28720238095238093,18587.980654761905,35.71577380952381,0.27976190476190477,21296.599702380954,40
reference_profiled,63,800000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2639674051339285,0.24988402157738096,0.014083383556547563,5.635968025345069,0.0,0.28720238095238093,18587.980654761905,35.71577380952381,0.27976190476190477,23902.306547619046,45
reference_profiled,63,900000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.2665490691137566,0.2549112218915344,0.011637847222222164,4.565451115045106,0.0,0.28720238095238093,18587.980654761905,35.71577380952381,0.28422619047619047,26383.471726190477,50
reference_profiled,63,1000000.0,1000000.0,shifted_exponential,bounded_identity,0.8,1000000.0,10.0,,0.5,1.0,0.268614400297619,0.25320974851190475,0.015404651785714263,6.083751465433807,0.0,0.28720238095238093,18587.980654761905,35.71577380952381,0.28273809523809523,29528.346726190477,56
