split,target_accuracy,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,eligible
75,0.25,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35823170731707316,0.38235114630059575,0.35189459930313594,32894.634146341465,0.3511904761904762,40188.76546613821,True
75,0.25,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3628048780487805,0.3862409563457399,0.35878048780487803,38874.3993902439,0.35833333333333334,48822.3707817683,True
75,0.25,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3704268292682927,0.3881035863785397,0.3654355400696865,46343.41463414634,0.3648809523809524,57704.114467536565,True
75,0.25,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3892399681777503,0.37094512195121954,52507.615853658535,0.37083333333333335,64030.96806554271,True
75,0.25,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.37652439024390244,0.39248424087140327,0.3730095818815331,62975.62042682927,0.3726190476190476,75796.65015322973,True
75,0.3,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.29381960601584284,0.2640679442508711,2881.922256097561,0.2619047619047619,2892.9258127298463,False
75,0.3,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.3030620826451345,0.27248257839721257,3363.3033536585367,0.2702380952380953,3488.261204502811,False
75,0.3,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.3117233632148252,0.2832709059233449,4062.3048780487807,0.28154761904761905,4198.70066547771,False
75,0.3,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.32035916524485925,0.28931620209059233,4831.753048780488,0.28809523809523807,5076.893788641759,False
75,0.3,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.327700465780073,0.29895905923344945,5724.868902439024,0.2988095238095238,6175.559636136172,False
75,0.3,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.3360734119865244,0.30699477351916377,6861.266768292683,0.30773809523809526,7434.221686361343,True
75,0.3,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.30640243902439024,0.3420996063011284,0.30921167247386755,8540.079268292682,0.3095238095238095,8989.34939618774,True
75,0.3,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3155487804878049,0.3483843168746323,0.31226916376306624,10139.495426829268,0.3119047619047619,10824.830909938366,True
75,0.3,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3201219512195122,0.35644863680601585,0.3137979094076656,12455.57012195122,0.31309523809523815,13207.564554625482,True
75,0.3,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3307926829268293,0.3625344156918382,0.31968641114982577,14831.071646341463,0.31845238095238093,15931.09138621613,True
75,0.3,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.36667270278039854,0.32664634146341465,16775.544207317074,0.325,18237.34934232897,True
75,0.3,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3445121951219512,0.3707903607224356,0.33498693379790945,20442.716463414636,0.33392857142857146,22513.844782963257,True
75,0.3,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3445121951219512,0.3760713786564458,0.3424869337979094,24518.876524390245,0.34226190476190477,27287.322738159797,True
75,0.3,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3521341463414634,0.3789614505588006,0.34860627177700354,28459.11280487805,0.34821428571428575,33279.738064009434,True
75,0.3,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35823170731707316,0.38235114630059575,0.35189459930313594,32894.634146341465,0.3511904761904762,40188.76546613821,True
75,0.3,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3628048780487805,0.3862409563457399,0.35878048780487803,38874.3993902439,0.35833333333333334,48822.3707817683,True
75,0.3,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3704268292682927,0.3881035863785397,0.3654355400696865,46343.41463414634,0.3648809523809524,57704.114467536565,True
75,0.3,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3719512195121951,0.3892399681777503,0.37094512195121954,52507.615853658535,0.37083333333333335,64030.96806554271,True
75,0.3,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.37652439024390244,0.39248424087140327,0.3730095818815331,62975.62042682927,0.3726190476190476,75796.65015322973,True
75,0.35,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.28353658536585363,0.29381960601584284,0.2640679442508711,2881.922256097561,0.2619047619047619,2892.9258127298463,False
75,0.35,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.3030620826451345,0.27248257839721257,3363.3033536585367,0.2702380952380953,3488.261204502811,False
75,0.35,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.3117233632148252,0.2832709059233449,4062.3048780487807,0.28154761904761905,4198.70066547771,False
75,0.35,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.32035916524485925,0.28931620209059233,4831.753048780488,0.28809523809523807,5076.893788641759,False
75,0.35,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.327700465780073,0.29895905923344945,5724.868902439024,0.2988095238095238,6175.559636136172,False
75,0.35,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3003048780487805,0.3360734119865244,0.30699477351916377,6861.266768292683,0.30773809523809526,7434.221686361343,False
75,0.35,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.30640243902439024,0.3420996063011284,0.30921167247386755,8540.079268292682,0.3095238095238095,8989.34939618774,False
75,0.35,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3155487804878049,0.3483843168746323,0.31226916376306624,10139.495426829268,0.3119047619047619,10824.830909938366,False
75,0.35,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3201219512195122,0.35644863680601585,0.3137979094076656,12455.57012195122,0.31309523809523815,13207.564554625482,False
75,0.35,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3307926829268293,0.3625344156918382,0.31968641114982577,14831.071646341463,0.31845238095238093,15931.09138621613,False
75,0.35,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.36667270278039854,0.32664634146341465,16775.544207317074,0.325,18237.34934232897,False
75,0.35,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3445121951219512,0.3707903607224356,0.33498693379790945,20442.716463414636,0.33392857142857146,22513.844782963257,False
75,0.35,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3445121951219512,0.3760713786564458,0.3424869337979094,24518.876524390245,0.34226190476190477,27287.322738159797,False
75,0.35,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3521341463414634,0.3789614505588006,0.34860627177700354,28459.11280487805,0.34821428571428575,33279.738064009434,False
75,0.35,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35823170731707316,0.38235114630059575,0.35189459930313594,32894.634146341465,0.3511904761904762,40188.76546613821,True
